SPG,http://www.spg.co.kr/,http://youngtech.dothome.co.kr/?p=198,파나소닉 서보모터 ,산업 자동화 장비용 모터,{제조} 기술 기반의 {기업} ? {기계} 분야에서 {부품} 형태로 {Offline} ? {제조/공급} 합니다
KOWORKWITHUS,http://kowork.co.kr,http://kowork.co.kr,코워크 ,외국인 구인구직 추천 매칭 플랫폼,{소셜네트워크} 기술 기반의 {기업} ? {채용} 분야에서 {웹사이트} 형태로 {Online} ? {중개} 합니다
KR8OS,https://golucidity.com/,https://golucidity.com/,루시디티 ,블록체인 기술을 활용한 광고 데이터 분석 플랫폼,{블록체인} 기술 기반의 {광고마케팅} ? {마케팅분석} 분야에서 {웹사이트} 형태로 {Online} ? {지원} 합니다
Kreditdata,http://kreditdata.com/,https://itunes.apple.com/kr/app/kredit-job-%ED%81%AC%EB%A0%88%EB%94%A7%EC%9E%A1-%EA%B5%AD%EB%AF%BC%EC%97%B0%EA%B8%88%EA%B8%B0%EB%B0%98-%EC%97%B0%EB%B4%89%EC%A0%95%EB%B3%B4/id1147528573?mt=8,크레딧잡 ,기업 평균 연봉 정보 서비스,{빅데이터/분석} 기술 기반의 {기업} ? {채용} 분야에서 {모바일앱} 형태로 {Online} ? {연구/분석} 합니다
Kreditdata,http://kreditdata.com/,,,,
KRGGROUP,http://www.krggroup.co.kr,http://mubang.co.kr,무방 ,보증금 없이 원룸 구할 수 있는 임차인보증서비스,{검색} 기술 기반의 {부동산} ? {원룸/빌라} 분야에서 {웹사이트} 형태로 {O2O} ? {중개} 합니다
KRGGROUP,http://www.krggroup.co.kr,,,,
KROSSPICTURES,http://www.krosspictures.com/,,영화/드라마 제작 ,영화/드라마 제작,{이미지/영상제작} 기술 기반의 {콘텐츠} ? {영화/드라마} 분야에서 {콘텐츠} 형태로 {Offline} ? {제조/공급} 합니다
KryptosBiotechnologies,https://www.kryptosbio.com/,,유전체 분석 장비 ,단일세포 유전체 분석 장비,{연구개발} 기술 기반의 {바이오/의료} ? {데이터분석} 분야에서 {하드웨어} 형태로 {Offline} ? {제조/공급} 합니다
KSnPick,http://www.myonepick.com/,http://www.myonepick.com/,원픽 ,연예인 지망생과 제작사를 연결하는 캐스팅플랫폼,{검색} 기술 기반의 {엔터테인먼트} ? {연예인} 분야에서 {웹사이트} 형태로 {Online} ? {중개} 합니다
KSnPick,http://www.myonepick.com/,,,,
KSTMobility,http://www.macaront.com/,https://itunes.apple.com/kr/app/%EB%A7%88%EC%B9%B4%EB%A1%B1%ED%83%9D%EC%8B%9C-%EB%8B%AC%EC%BD%A4%ED%95%9C-%EC%9D%B4%EB%8F%99%EC%9D%98-%EC%8B%9C%EC%9E%91/id1457803958?mt=8&ign-mpt=uo%3D4,마카롱택시 ,혁신형 택시 브랜드 마카롱택시,{빅데이터/분석} 기술 기반의 {자동차} ? {택시/카풀} 분야에서 {모바일앱} 형태로 {O2O} ? {중개} 합니다
KSTMobility,http://www.macaront.com/,,,,
Kukudocs,http://www.kukudocs.com/main/,http://www.kukudocs.com/main/,쿠쿠닥스 ,웹 클라우드 오피스 서비스,{클라우드} 기술 기반의 {기업} ? {문서} 분야에서 {웹사이트} 형태로 {Online} ? {지원} 합니다
Kukudocs,http://www.kukudocs.com/main/,,,,
Kurvv,https://kurvv.ai/,https://kurvv.ai/,커브 ,개발자가 아니여도 쓸 수 있는 머신 러닝 서비스 ,{인공지능} 기술 기반의 {기업} ? {기술지원} 분야에서 {웹사이트} 형태로 {Online} ? {구독/멤버십} 합니다
Kweather,http://www.kweather.co.kr/main/main.html,https://itunes.apple.com/kr/app/%EC%BC%80%EC%9D%B4%EC%9B%A8%EB%8D%94-%EB%82%A0%EC%94%A8/id372326740?mt=8,케이웨더 ,날씨 앱,{클라우드} 기술 기반의 {생활} ? {기상정보} 분야에서 {모바일앱} 형태로 {Online} ? {지원} 합니다
Kweather,http://www.kweather.co.kr/main/main.html,,,,
Lablup,http://www.lablup.com/,https://www.codeonweb.com/,코드온웹 ,온라인 코딩교육 플랫폼,{클라우드} 기술 기반의 {교육} ? {프로그램개발} 분야에서 {웹사이트} 형태로 {Online} ? {지원} 합니다
Lablup,http://www.lablup.com/,,,,
LabSD,,,휴대형 안저카메라 ,저소득국가 안질환 진단용 휴대형 안저카메라,{사물인터넷/센서} 기술 기반의 {바이오/의료} ? {안과} 분야에서 {하드웨어} 형태로 {Offline} ? {지원} 합니다
LabSD,,,,,
LabSpinner,http://www.labspinner.com,www.labspinner.com,100% 자동화 엑소좀 분리기기 ,렙온어칩을 활용한 순도 높은 엑소좀의 효율적인 분리기술을 바탕으로 액체생검을 위한 100% 자동 엑소좀 분리기기,{연구개발} 기술 기반의 {바이오/의료} ? {연구/실험} 분야에서 {하드웨어} 형태로 {Offline} ? {제조/공급} 합니다
Laftel,http://www.laftel.net/,https://itunes.apple.com/kr/app/%EB%9D%BC%ED%94%84%ED%85%94-%EC%95%A0%EB%8B%88-%EC%8A%A4%ED%8A%B8%EB%A6%AC%EB%B0%8D-%EC%95%A0%EB%8B%88%EB%A9%94%EC%9D%B4%EC%85%98-%EC%B6%94%EC%B2%9C/id1169440095?mt=8,라프텔 ,웹툰/만화/애니 전문 개인화 추천 앱,{이미지/영상처리} 기술 기반의 {콘텐츠} ? {애니메이션/웹툰} 분야에서 {모바일앱} 형태로 {Offline} ? {추천} 합니다
Laftel,http://www.laftel.net/,,,,
Lambda256,https://www.luniverse.io/,https://www.luniverse.io/,루니버스 ,DApp 개발·운영을 위한 블록체인 토탈 솔루션,{블록체인} 기술 기반의 {블록체인} ? {기술지원} 분야에서 {API/SDK} 형태로 {Online} ? {지원} 합니다
Lambda256,https://www.luniverse.io/,,밀크 ,블록체인기반 여행·여가분야 마일리지 포인트 서비스,{블록체인} 기술 기반의 {여행} ? {쿠폰/멤버십} 분야에서 {API/SDK} 형태로 {Online} ? {지원} 합니다
Lambda256,https://www.luniverse.io/,,,,
Langdy,https://langdy.net,https://langdy.net,랭디 ,인플루언서 컨텐츠 독점 온라인 1:1 외국어 학습 서비스,{음악/영상스트리밍} 기술 기반의 {교육} ? {외국어교육} 분야에서 {웹사이트} 형태로 {Online} ? {지원} 합니다
Laonbud,http://www.laonbud.com/,,라온에이드 ,누구나 쉽게 딥러닝을 활용할 수 있는 서비스,{인공지능} 기술 기반의 {기업} ? {기술지원} 분야에서 {API/SDK} 형태로 {Online} ? {지원} 합니다
Laonbud,http://www.laonbud.com/,,,,
LASEInnovation,http://laseinnovation.com/,,초미세 레이저입자 ,레이저 입자 기술 기반 나노-마이크론 크기의 차세대 발광 입자 개발,{광학} 기술 기반의 {바이오/의료} ? {연구/실험} 분야에서 {하드웨어} 형태로 {Offline} ? {제조/공급} 합니다
LATESTK,https://www.latestk.com,https://kineps.io,키냅스 ,셀러들을 위한 해외 상품 DB 스크래핑 기반 상품 소싱/관리 솔루션,{검색} 기술 기반의 {패션} ? {해외쇼핑} 분야에서 {웹사이트} 형태로 {Online} ? {지원} 합니다
LATESTK,https://www.latestk.com,,,,
launchpack,http://launchpack.co.kr/,http://launchpack.co.kr/,런치팩 ,개발자 없이 웹/앱 플랫폼 서비스를 만들 수 있는 솔루션,{클라우드} 기술 기반의 {기업} ? {프로그램개발} 분야에서 {웹사이트} 형태로 {Online} ? {지원} 합니다
launchpack,http://launchpack.co.kr/,,,,
LBASE,http://www.l-base.co.kr/,,CAGE 타깃 신약 ,항암제 내성 극복을 위한 CAGE 타깃 신약,{연구개발} 기술 기반의 {바이오/의료} ? {약품/약물} 분야에서 {상품} 형태로 {Offline} ? {제조/공급} 합니다
LBASE,http://www.l-base.co.kr/,,,,
LEADCORP,https://www.leadcorp.co.kr/,https://www.leadcorp.co.kr/product/home,자금대출 ,자금대출,{금융} ? {대부업} 분야에서 {상품} 형태로 {Online} ? {대여} 합니다
LEADCORP,https://www.leadcorp.co.kr/,,,,
LEARNINGSPOONS,https://learningspoons.com,https://learningspoons.com,러닝스푼즈 ,"직장인, 성인 실무교육 서비스",{음악/영상스트리밍} 기술 기반의 {교육} ? {직무교육} 분야에서 {웹사이트} 형태로 {Online} ? {지원} 합니다
LEARNINGSPOONS,https://learningspoons.com,,,,
Lecle,https://www.lecle.co.kr/,https://baikal.io/,바이칼 ,소스코드 오픈마켓,{전자상거래} 기술 기반의 {기업} ? {프로그램개발} 분야에서 {웹사이트} 형태로 {Online} ? {중개} 합니다
Lecle,https://www.lecle.co.kr/,,,,
LEEDEYEON,http://leedeyeon.com,https://www.leedeyeon.com/,코르크 스피커 ,공병을 활용하여 스피커의 음질을 향상시키고 소리를 증폭시키는 제품,{제조} 기술 기반의 {콘텐츠} ? {음향기기} 분야에서 {하드웨어} 형태로 {Offline} ? {제조/공급} 합니다
LEEDEYEON,http://leedeyeon.com,,,,
LegalTech,https://lbox.kr/,https://lbox.kr/,엘박스 ,판례 데이터를 가공하여 법률 사무의 지능화를 위한 클라우드 기반 정보 서비스,{빅데이터/분석} 기술 기반의 {생활} ? {법률/계약} 분야에서 {웹사이트} 형태로 {Online} ? {지원} 합니다
LegalTech,https://lbox.kr/,,,,
LegalTech-1,https://legaltech.kr/,https://legaltech.kr/vdr/,리걸테크VDR ,"기업 실사, M&A, 바이오 및 제약업계 임상시험, 라이센스 아웃 등에서 주로 활용되는 가상데이터룸 솔루션",{클라우드} 기술 기반의 {기업} ? {법률/계약} 분야에서 {소프트웨어} 형태로 {Online} ? {지원} 합니다
LegalTech-1,https://legaltech.kr/,,,,
LegoChemBiosciences,http://www.legochembio.com/,http://www.legochembio.com/goods/list.asp?category=3,전문의약품 ,전문의약품 제조,{연구개발} 기술 기반의 {바이오/의료} ? {약품/약물} 분야에서 {상품} 형태로 {Offline} ? {제조/공급} 합니다
LegoChemBiosciences,http://www.legochembio.com/,,,,
Lemonex,http://www.lemonexbio.com/,,면역항암제 ,서방형 약물전달 기술 DegradaBALL에 기반한 면역항암제,{연구개발} 기술 기반의 {바이오/의료} ? {면역치료} 분야에서 {상품} 형태로 {Offline} ? {제조/공급} 합니다
Lemonex,http://www.lemonexbio.com/,,,,
Lemonhealthcare,http://www.lemonhealthcare.com/,http://www.lemonhealthcare.com/download/,엠케어 ,"병원방문, 약국처방까지 환자가 거치는 전 과정을 스마트폰으로 편리하게 만나는 환자 중심 양방향 서비스",{클라우드} 기술 기반의 {바이오/의료} ? {인프라} 분야에서 {모바일앱} 형태로 {Online} ? {제조/공급} 합니다
Lemonhealthcare,http://www.lemonhealthcare.com/,,,,
Lendit,https://www.lendit.co.kr/loan,https://www.lendit.co.kr/loan,렌딧 ,P2P 개인 신용대출 서비스,{크라우드펀딩} 기술 기반의 {금융} ? {대부업} 분야에서 {웹사이트} 형태로 {Online} ? {중개} 합니다
Lendit,https://www.lendit.co.kr/loan,,,,
LEOCorporation,http://pacemaker.kr/,http://pacemaker.kr,페이스메이커 ,온라인 대학 입시컨설팅 서비스,{빅데이터/분석} 기술 기반의 {교육} ? {컨설팅} 분야에서 {웹사이트} 형태로 {Online} ? {지원} 합니다
LepiDyne,http://lepidyne.com/,http://www.lepidyne.com/,간암 예후 진단기기 ,간암 및 담관암 진단 키트 개발,{연구개발} 기술 기반의 {바이오/의료} ? {진단} 분야에서 {하드웨어} 형태로 {Online} ? {제조/공급} 합니다
LepigeneMD,http://lepigenemd.com,http://lepigenemd.com,엑소좀 유전자 치료제 ,유전자 조절기반 항암 치료제,{연구개발} 기술 기반의 {바이오/의료} ? {약품/약물} 분야에서 {상품} 형태로 {Offline} ? {제조/공급} 합니다
LepigeneMD,http://lepigenemd.com,,,,
