교차로 모퉁이,88035
모퉁이 불법,85017
불법 주정차,477691
주정차 신고,471862
횡단 보도,11336
횡단보도 불법,246708
일방통행 길,336
길 역주행,82
역주행 불법주차,54
불법주차 신고,3646
소화전 불법,71230
상습 과태료,11
과태료 부과,7839
어린이 보호구역,18303
보호구역 주정차,642
주정차 금지,5202
금지 구역,5435
구역 인도,90
인도 횡단보도,222
횡단보도 주차,1103
배기 소음,26
소음 기준치,8
기준치 초과,12
초과 불법,3
불법 튜닝,508
황색 단선,6
단선 차,2
차 좌회전,274
좌회전 신호,1041
동시 건물,2
건물 주차장,346
주차장 차량,158
차량 우회전,454
우회전 불편,30
불편 현,2
신고 앞,53
앞 황색,90
황색 복선,2606
처리 가능,36
장애 주차,17924
주차 구역,16233
구역 주차,7033
주차 방해,1268
방해 행위,146
버스정류소 불법,56855
최근 몇,3
몇 일,18
일 동안,153
동안 지하,2
지하 주차장,1226
주차장 장애,728
장애 하차,2
하차 보행자,2
보행자 통행로,103
통행로 주차,76
방해 걸로,2
걸로 사료,5
처벌 부탁,1093
불법 소화전,4
소화전 주정차,73
방향 지시,3712
지시 등,3729
등 사고,275
사고 유발,1542
주차 금지,3292
수십 대,74
대 길,22
길 차로,6
점거 채,77
채 장시간,2
장시간 정차,27
정차 중,233
중 차량,592
차량 촬영,30
힘 이듭,48
이듭 사진,2
사진 신호,19
신호 등,844
등 곳,67
곳 유턴,24
유턴 가능,71
가능 곳,126
유턴 차량,254
차량 정차,167
정차 버스,47
버스 위험,43
위험 노출,1167
노출 상황,25
상황 조치,105
조치 부탁,6658
시각 장애,424
장애 보도,84
보도 블럭,5938
블럭 위,312
위 어린이,19
어린이 자전거,47
자전거 방치,61
방치 실정,12
자전거 거치대,193
거치대 설치,21
설치 장애,8
장애 수,6
수 바람,16
장애자 주차,21
주차 위반,3141
불법 주차,7736
상시 단속,149
단속 구간,240
구간 골목,8
골목 차,150
차 통행,468
통행 수,332
수 차,136
차 오토바이,57
오토바이 사람,28
인도 주차,4833
도로 중앙,633
황 색선,248
색선 안,2
안 주차,100
주차 차량,4675
중 불법주차,46
도로 파손,6267
안전지대 주차,40
주차 개념,25
개념 운전자,35
불법주차 통행,919
통행 불가,463
모퉁이 주차,865
구역 위반,2423
서울 자,135
통행 불편,7306
차량 번호판,498
번호판 훼손,224
년 월,6455
월 일,11265
용서 고속도,3
고속도 주행,39
주행 중,2658
유턴 대기,13
대기 차량,162
차량 가운데,9
일 시,4136
시 분경,4953
분경 주,9
주 아반떼,7
아반떼 차량,116
차량 유턴,77
가능 구간,32
구간 이상,11
이상 중앙선,4
중앙선 줄,13
줄 곳,25
곳 얌체,10
얌체 불법,4
불법 유턴,1408
유턴 해당,5
해당 차량,1470
차량 신고,3024
일 오,6
후 시,12
시 까지,5
까지 주차,9
주차 입구,43
입구 주민,15
주민 주차장,16
주차장 안,42
안 연락,4
대 처분,4
밤 ?n,2
?n 게,3
게 죄,3
장애 주차장,1908
주차장 불법주차,456
불철주야 고생,150
고생 불법주차,3
불법주차 저희,8
저희 통행,2
통행 방해,3800
방해 불편,46
불편 제,16
제 저희,5
어린아이 통행,6
방해 어린이,30
어린이 교통안전,3
교통안전 위협,22
인지 신고,7
보도 모퉁이,99
서울 너,6
횡단보도 불법주차,1871
차 도로,635
도로 주차,1082
경자 년,7
년 새해,4
난폭 운전,83
소화전 불법주차,567
차량 인도,508
인도 행단,9
행단 보도,502
보도 점령,34
점령 통행,27
우회전 인도,7
인도 도로,419
도로 처서,3
처서 주차,9
주차 우회전,217
지장 초래,266
영상 좌측,9
좌측 차로,18
차로 흰색,6
흰색 하,5
하 차량,123
창문 밖,47
밖 담배꽁초,35
가로등 하나,79
하나 도로,28
도로 교통사고,35
교통사고 위험,722
ㅂ 횡단,6
보도 불법,2997
신고 이건,13
이건 불법,9
불법 로점,12
장애 불법주정차,93
불법주정차 상습범,4
상습범 신고,10
냄새 아파트,7
아파트 관할,2
관할 구청,131
화목 보일러,11
소재 파악,3
건 확인,28
확인 필요,227
가로등 고장,1508
주거지 전용,40
전용 주차장,195
일반 차량,1693
차량 장애,1103
장애 구역,2259
개 소리,55
횡 단보,183
차 신고,452
보도 중앙선,10
중앙선 불법주차,29
불법주차 단속,1350
인도 위주,450
위주 차,498
대구시 동구,2367
동구 아양,345
아양 길,291
길 건물,771
건물 우측,194
우측 전주,230
전주 도로,38
도로 현수막,59
소화전 사진,13
사진 첨부,1081
첨부 않,2
전 신고,283
신고 거,270
거 참고,5
동구 효목,105
효목 길,80
건물 길,64
길 건너,416
건너 전주,183
전주 현수막,1693
동구 효동,79
효동 길,47
길 아파트,34
아파트 입구,860
입구 좌측,141
좌측 전주,280
우측 코너,8
코너 전주,16
우측 현수막,6
나안 아파트,7
아파트 맞은편,50
맞은편 상가,13
휘트 니스,45
간판 불빛,18
시각 새벽,7
새벽 시,324
시 잠,4
잠 조치,3
건물 좌측,260
여기 단속,59
단속 사고,437
사고 날,1285
날 뻔,953
뻔 적,289
길 골든,2
골든 빌라,3
빌라 옆,74
옆 도로,730
도로 가,466
가 전주,162
건물 출입구,87
가게 앞,1177
앞 불법주차,1255
건물 도로,50
전주 어린이,3
어린이 보호,1207
보호 해제,4
해제 간판,2
간판 게,6
건물 앞,2039
앞 전주,219
길 의,19
의 건물,8
앞 대문,7
대문 앞,236
앞 도로,4811
도로 쇼파,2
쇼파 의자,4
보행 지장,215
초래 철거,9
철거 요망,149
가 쇼파,2
도로 이용,266
이용 지장,8
철거 것,58
것 것,327
저녁 시,524
시 주차,123
주차 교차로,90
일 새벽,76
분경 저,6
전날 저녁,14
클라우드 호텔,3
층 호,49
야간 근무,10
평소 업무,4
업무 시,4
시 마감,6
뒤 정리,4
정리 뒤,2
뒤 시,10
프론트 데스크,2
뒤 사무실,2
눈 분,2
분 정도,206
정도 뒤,12
후 거,10
거 말,57
프론트 근무자,2
저 제,16
제 것,89
근무 시간,50
시간 시간,143
시간 중,22
중 시간,27
시간 휴게,2
휴게 시간,8
시간 걸로,4
잘못 인정,10
협의 후,12
후 휴게,2
시간 뒤,31
시간 이유,11
이유 뭐,11
뭐 저,3
저 짜증,5
말씀 말,4
번 정도,93
가격 후,2
후 옆,13
옆 다음,2
저 화가,3
경찰 신고,183
직장 내,6
처벌 가능,63
가능 신고,59
부과 행정,2767
행정 처분,5064
지경 고정,2
고정 단속,10
단속 필요,411
선화 번,69
번 길,7840
길 부근,4296
부근 공중선,2967
공중선 채,2410
전주 광고,190
광고 물,3952
물 부착,264
대전 번,187
채 전주,378
오트 바이,10
수리 판매,3
상회 옆,3
옆 전주,75
방치 보행,43
지장 정리,3
정리 필요,1829
대학 부근,72
부근 인도,218
인도 블럭,698
블럭 파손,1345
파손 간격,13
간격 층,2
층 안전사고,2
안전사고 우려,1524
방범 표지판,4
표지판 바람,28
바람 한쪽,5
쪽 위험,90
갈마 공원,46
공원 부근,21
뻐스 승강장,54
승강장 번호,81
번호 가로수,5
가로수 고사목,22
위치 웅덩이,2
야간 동시,231
동시 안전사고,233
차선 우회전,459
우회전 직진,64
직진 금지,307
금지 차선,162
차선 직진,1031
우림 한솔,46
한솔 아파트,57
아파트 정문,531
정문 앞,1763
앞 교차로,717
드림 빌,15
빌 원룸,15
원룸 빌딩,6
빌딩 앞,327
현대 아파트,333
앞 횡단보도,3422
내용 버스,4
버스 전용,184
전용 좌회전,11
좌회전 위반,38
장소 대전,51
대전 서구,129
서구 둔산동,31
삼방 초등,7
초등 학교,5767
주정차 구역,421
구역 내,629
내 필요,5
때 주,3
주 차시,74
차시 차량,18
갓길 주행,120
버스 종점,78
종점 버스,12
버스 진입,64
진입 주정차,26
소통 불가,10
설치 데,61
지역 인근,20
쓰레기 불법,424
불법 투여,14
차량 주,149
차시 사고,19
밑 반사경,2
반사경 쪽,11
쪽 인근,2
인근 설치,14
설치 요망,387
신고 횡단보도,414
횡단보도 침범,218
침범 역주행,197
역주행 주차,193
대형 고드름,3
고드름 개,2
상단 위치,4
위치 통행,13
통행 차량,481
차량 위협,162
위협 신속,8
신속 처리,402
처리 필요,525
만약 차량,9
차량 통,103
통 행량,185
지점 차량,26
차량 유리창,3
인명 사고,378
사고 수,797
수 위험,471
위험 상황,998
인천 공항,47
공항 방향,29
방향 송도,3
지하차도 시작,2
시작 지점,52
지점 목격,2
목격 이,20
고잔 지하차도,3
등 안전,279
안전 확인,60
확인 부탁,1650
장애 자리,231
자리 불법주차,218
해당 업소,30
걸로 연세,2
연세 어르신,13
영업 가게,31
위 사진,356
사진 가게,7
가게 영업,24
영업 종료,7
종료 후,30
방치 내부,3
오픈 년,2
년 가게,3
처분 신고,7
신고 어르신,4
어르신 것,8
것 지도,5
영업 정지,53
위생 상태,77
상태 해당,10
해당 기관,56
시간 지도,5
지도 편달,23
편달 부탁,12
음식 전,2
전 것,40
영업 중,160
중 술,2
술 음식,7
음식 것,8
것 교육,16
신고 횡단,211
보도 인도,403
갓길 불법주차,42
신고 통행,63
범주 차,6
차 교통,94
교통 원활,29
선거 운동,60
운동 시기,2
주정차 위반,2507
인근 버스,6
버스 정루,8
정루 소,2
소 위,3
이중주 차,667
중 주차,245
차량 소통,218
소통 방해,83
고생 공무원,37
불법주정차 신고,2504
평택 청북,3
청북 더원,5
더원 아파트,14
아파트 동,1343
동 앞,1271
앞 장애,655
구역 상습,431
상습 주차,1652
구역 불법주차,4978
신고 주차,224
주차 데,290
데 일,21
일 거,80
아파트 장애,212
장애 스티커,405
스티커 차량,79
쌍용 자동차,29
자동차 대리점,26
건너 도로,20
보도 파손,434
파손 정비,341
정비 요망,468
파손 통행,203
보도 불럭,346
불럭 파손,79
침산 화성,5
화성 차,2
차 동,258
동 문,3
문 앞,139
차 차,679
차 상태,25
상태 전화,8
전화 맘,2
위험 해요,16
방해 신고,401
학교 앞,2640
앞 어린이,773
어린이 위험,253
횡단보도 위,1094
위 주차,2842
주차 이유,27
주차장 입구,1763
입구 주차,519
주차 버스,171
버스 차량,105
불법주차 차량,3703
과태료 처분,447
보도 교차로,459
불법 적치,857
적치 물수,9
등산 보수,2
보수 요청,1601
전망대 방향,3
주차장 주차,1014
내 주차,596
촌 공원,5
공원 입구,403
입구 차량,143
차량 진입,1145
진입 차,204
차 단봉,596
단봉 자리,2
자리 철,2
철 방치,2
방치 행인,14
행인 발,38
발 상태,4
상태 차,35
정상 설치,12
철 마감,3
마감 시공,2
안전사고 방지,50
방지 바람,2
불법 현수막,6568
현수막 처리,42
처리 불편,17
지하 층,929
층 동,50
장애 전용주,802
전용주 차,764
차 구역,731
구역 일반,678
차량 주차,3490
자전거 매장,3
방치 횡단보도,4
횡단보도 상,32
상 차량,8
차량 주행,312
주행 시,136
시 불편,446
이야기 반복,4
반복 거,7
거 사람,42
사람 식,12
저번 거,3
거 동구,2
동구 청,97
청 연락,3
연락 조치,40
조치 저곳,2
저곳 주차,48
불철주야 수고,86
중 공사,66
비상 차량,4
차량 수,409
주행 정체,2
정체 차량,12
차량 위험,704
위험 행위,32
행위 단절,2
검토 처리,13
처리 결과,420
주정차 절대,52
절대 금지,63
구역 노란색,9
노란색 줄,45
줄 주차,89
주차 코너,49
코너 부근,17
부근 주차,46
주차 사고,255
인도 불법주차,2297
대 불법주정차,401
도로 때문,39
때문 옆,21
옆 매장,2
차 물건,15
자리 번,14
번 과태료,24
처리 부탁,2946
전단지 부착,62
밥 사무실,2
사람 소리,14
목줄 위협,3
사무실 직원,13
직원 친절,3
정문 대로변,2
대로변 불법,24
장애 인전,132
인전 구역,73
차 시동,15
시동 비상,4
비상 등,285
인도 위,7794
위 불법주차,3074
소화전 불법주정차,265
횡단보도 인도,364
죽림 도시,9
도시 죽림,9
죽림 스파,9
스파 층,9
층 장애,327
황색 점선,267
점선 주차,74
주차 어린이,88
보호구역 불법주차,1117
구역 불법,1867
주차 신고,2792
신고 오색,2
지원 센타,6
센타 앞,52
앞 택시,95
택시 승강장,312
첨부 사진,1067
사진 고,6
고 차량,173
번호판 봉인,49
봉인 볼트,2
튜닝 차량,59
사진 확인,134
확인 후,2066
후 처벌,33
신고 용현,3
용현 동,20
동 동사무소,22
동사무소 앞,42
중앙 불법주차,20
불법주차 교통,105
교통 체증,422
체증 유발,149
상기 차량,220
차량 인천,7
인천 바,290
바 택시,192
택시 차량,128
본인 인천,3
공항 터미널,14
터미널 방면,15
방면 차,53
차 로로,291
로로 진행,21
진행 중,675
해당 지역,598
지역 구간,8
구간 규정,2
규정 속도,101
속도 진행,17
첫째 속도,2
속도 후방,2
후방 하이,2
하이 빔,11
빔 회,3
회 발사,2
