불법 모퉁이,87878
불법 주정차,119070
불법 신고,114381
주정차 불법,578568
주정차 모퉁이,86669
주정차 신고,574206
역주행 길,94
역주행 불법주차,70
역주행 신고,230
불법주차 역주행,58
불법주차 길,311
불법주차 신고,5795
주정차 보호구역,7225
주정차 금지,4585
주정차 구역,3317
금지 주정차,5491
금지 보호구역,186
금지 구역,5205
금지 인도,85
구역 금지,7264
구역 주정차,2940
구역 인도,199
구역 횡단보도,243
인도 구역,234
인도 금지,110
인도 횡단보도,602
인도 주차,3870
횡단보도 인도,672
횡단보도 구역,289
횡단보도 주차,1733
기준치 소음,21
기준치 초과,20
초과 기준치,16
초과 소음,19
불법 초과,11
불법 튜닝,471
차 좌회전,1465
차 신호,767
좌회전 차,1427
좌회전 신호,2307
신호 좌회전,2577
신호 차,760
신호 동시,392
인접 건물,42
동시 신호,391
동시 주차장,13
건물 동시,11
건물 인접,42
건물 주차장,562
건물 차량,242
주차장 건물,571
주차장 동시,13
주차장 차량,1106
주차장 우회전,61
차량 주차장,998
차량 건물,225
차량 우회전,2963
차량 불편,3189
우회전 차량,3148
우회전 주차장,53
우회전 불편,203
불편 우회전,96
불편 차량,1757
주정차 앞,1205
신고 주정차,28708
신고 불법,14763
신고 앞,748
신고 황색,109
앞 신고,674
앞 주정차,1124
앞 황색,408
앞 복선,48
황색 앞,329
황색 신고,104
황색 복선,548
황색 처리,11
복선 황색,655
복선 앞,28
처리 가능,103
장애 주차,9974
장애 구역,7325
주차 장애,9999
주차 구역,16504
주차 주차,8755
구역 주차,32548
구역 장애,5247
구역 방해,1322
주차 방해,3653
주차 행위,246
방해 주차,2220
방해 구역,663
방해 행위,276
일 몇,29
일 동안,254
일 지하,32
동안 일,261
동안 주차장,20
지하 일,36
지하 주차장,2076
지하 장애,721
주차장 지하,1716
주차장 동안,22
주차장 장애,2469
주차장 주차,2763
장애 주차장,2636
장애 지하,510
주차 주차장,2268
보행자 통행로,103
보행자 주차,1150
통행로 보행자,130
통행로 주차,122
주차 걸로,130
방해 걸로,13
걸로 주차,87
소화전 불법,1151
소화전 주정차,1214
소화전 신고,446
주정차 소화전,1054
등 지시,6073
