불법 주정차 모퉁이,87197
불법 주정차 주정차,104213
주정차 금지 보호구역,189
주정차 금지 금지,2455
주정차 금지 구역,1290
"금지 구역,주정차",1060
"금지 구역,보호구역",64
"금지 구역,인도",15
"금지 구역,횡단보도",13
금지 구역 주정차,1663
금지 구역 구역,2467
금지 구역 인도,12
"구역 인도,금지",11
"구역 인도,주차",24
구역 인도 금지,28
구역 인도 인도,74
인도 횡단보도 주차,15
인도 횡단보도 횡단보도,96
차 좌회전 좌회전,165
차 좌회전 신호,21
"좌회전 신호,차",40
좌회전 신호 차,32
좌회전 신호 신호,806
"건물 주차장,차량",21
건물 주차장 주차장,171
건물 주차장 차량,11
"주차장 차량,건물",10
주차장 차량 건물,12
주차장 차량 차량,126
차량 우회전 우회전,395
우회전 불편 불편,10
주정차 신고 불법,14815
주정차 신고 신고,14111
주정차 신고 앞,29
"신고 앞,주정차",26
"신고 앞,불법",23
신고 앞 주정차,28
신고 앞 앞,49
"앞 황색,복선",18
앞 황색 황색,68
앞 황색 복선,20
"황색 복선,앞",15
황색 복선 앞,39
황색 복선 복선,293
장애 주차 주차,3892
장애 주차 구역,2940
"주차 구역,장애",2012
"주차 구역,주차",941
"주차 구역,방해",134
주차 구역 장애,4122
주차 구역 구역,4243
주차 구역 주차,1055
"구역 주차,주차",511
"구역 주차,장애",422
"구역 주차,방해",122
"구역 주차,행위",28
구역 주차 주차,4583
구역 주차 방해,217
주차 방해 구역,293
주차 방해 주차,136
주차 방해 행위,61
주차 방해 방해,466
일 동안 몇,10
일 동안 동안,95
"지하 주차장,장애",190
"지하 주차장,주차",143
지하 주차장 주차장,686
지하 주차장 장애,211
"주차장 장애,지하",274
"주차장 장애,주차",353
"주차장 장애,구역",304
주차장 장애 지하,269
주차장 장애 장애,629
주차장 장애 주차,360
장애 주차 주차장,449
장애 주차 지하,58
보행자 통행로 통행로,43
"주차 방해,구역",96
"주차 방해,주차",101
소화전 주정차 주정차,35
등 사고 지시,13
등 사고 사고,260
대 길 길,16
점거 채 채,77
장시간 정차 정차,18
"정차 중,차량",22
정차 중 중,122
정차 중 차량,25
"중 차량,정차",16
중 차량 정차,17
중 차량 차량,529
차량 촬영 촬영,22
힘 이듭 이듭,15
사진 신호 신호,11
"신호 등,곳",14
신호 등 등,520
신호 등 곳,13
등 곳 곳,47
곳 유턴 유턴,23
유턴 가능 곳,10
유턴 가능 가능,59
가능 곳 유턴,11
가능 곳 곳,88
유턴 차량 차량,204
"차량 정차,곳",10
차량 정차 정차,126
정차 버스 버스,43
버스 위험 위험,27
"위험 노출,조치",237
위험 노출 노출,700
위험 노출 상황,15
노출 상황 상황,11
상황 조치 위험,26
상황 조치 부탁,26
상황 조치 조치,55
보도 블럭 장애,53
보도 블럭 블럭,2599
보도 블럭 위,109
"블럭 위,보도",71
블럭 위 보도,144
블럭 위 위,147
위 어린이 어린이,13
어린이 자전거 자전거,35
자전거 방치 방치,33
골목 차 차,103
"차 통행,차",15
차 통행 통행,352
"통행 수,차",11
통행 수 수,190
"수 차,차",16
수 차 차,120
차 오토바이 오토바이,45
황 색선 색선,41
안 주차 주차,46
고속도 주행 주행,16
"년 월,차량",81
"년 월,일",514
"년 월,시",123
년 월 월,1174
년 월 일,879
"월 일,년",789
"월 일,시",780
"월 일,분경",171
월 일 년,2426
월 일 일,3917
월 일 시,1708
"일 시,월",280
"일 시,년",165
"일 시,분경",115
일 시 월,4299
일 시 시,3015
일 시 분경,1843
"시 분경,일",1286
"시 분경,월",513
시 분경 일,877
시 분경 분경,1967
아반떼 차량 차량,47
차량 유턴 유턴,64
가능 구간 구간,22
구간 이상 이상,10
줄 곳 곳,14
"불법 유턴,곳",15
"불법 유턴,차량",130
불법 유턴 유턴,584
해당 차량 불법,12
해당 차량 신고,116
해당 차량 차량,696
후 시 시,11
주차 입구 입구,27
입구 주민 주민,13
주민 주차장 주차장,12
주차장 안 안,24
불법 주정차 신고,14453
"주정차 신고,불법",3677
"주정차 신고,모퉁이",4064
불철주야 고생 고생,16
"통행 방해,불법주차",78
"통행 방해,불편",17
통행 방해 방해,1462
통행 방해 불편,15
방해 불편 통행,11
방해 불편 불편,24
불편 제 제,16
"통행 방해,어린이",15
통행 방해 어린이,15
"방해 어린이,통행",14
방해 어린이 통행,14
방해 어린이 어린이,30
교통안전 위협 위협,11
행단 보도 보도,228
보도 점령 점령,18
점령 통행 불편,12
점령 통행 통행,24
주차 우회전 우회전,170
도로 교통사고 교통사고,22
보도 불법 횡단,2647
보도 불법 불법,2574
보도 불법 주정차,2461
불법 주정차 보도,4810
불법 주정차 횡단,2107
신고 이건 이건,12
관할 구청 구청,90
화목 보일러 보일러,11
건 확인 확인,19
장애 구역 차량,119
장애 구역 구역,485
아양 길 동구,291
아양 길 길,294
아양 길 건물,120
"길 건물,아양",120
"길 건물,동구",526
"길 건물,우측",152
"길 건물,전주",149
길 건물 아양,120
길 건물 건물,731
길 건물 우측,132
"건물 우측,길",171
"건물 우측,아양",32
"건물 우측,전주",94
"건물 우측,도로",22
건물 우측 길,152
건물 우측 우측,199
건물 우측 전주,56
"우측 전주,건물",23
"우측 전주,길",52
"우측 전주,현수막",28
우측 전주 건물,103
우측 전주 전주,223
전주 도로 우측,14
전주 도로 현수막,29
전주 도로 도로,36
효목 길 동구,80
효목 길 길,80
효목 길 건물,37
"길 건물,효목",37
"길 건물,길",120
"길 건물,건너",40
길 건물 효목,37
길 건물 길,45
"건물 길,길",47
"건물 길,건너",45
"건물 길,전주",21
건물 길 길,108
건물 길 건너,45
"길 건너,건물",120
"길 건너,길",127
"길 건너,전주",265
"길 건너,현수막",148
길 건너 건물,58
길 건너 건너,399
길 건너 전주,163
건너 전주 길,275
건너 전주 건물,20
건너 전주 현수막,150
건너 전주 전주,185
효동 길 동구,44
효동 길 길,46
길 아파트 아파트,27
"아파트 입구,길",16
아파트 입구 입구,463
"입구 좌측,길",48
"입구 좌측,전주",72
"입구 좌측,현수막",44
입구 좌측 좌측,135
입구 좌측 전주,45
좌측 전주 입구,83
좌측 전주 현수막,215
좌측 전주 전주,278
효동 길 건물,29
"길 건물,효동",29
길 건물 효동,29
"건물 우측,효동",11
코너 전주 현수막,13
코너 전주 전주,15
휘트 니스 니스,24
간판 불빛 불빛,12
새벽 시 시,256
"길 건물,좌측",210
길 건물 좌측,186
"건물 좌측,길",225
"건물 좌측,아양",51
"건물 좌측,전주",122
"건물 좌측,도로",19
건물 좌측 길,202
건물 좌측 좌측,259
건물 좌측 전주,76
"좌측 전주,건물",23
"좌측 전주,길",60
"좌측 전주,도로",12
"좌측 전주,현수막",30
좌측 전주 건물,140
좌측 전주 도로,13
전주 도로 좌측,22
사고 날 날,1032
사고 날 뻔,699
날 뻔 사고,549
날 뻔 적,102
날 뻔 뻔,487
빌라 옆 옆,49
옆 도로 도로,494
"도로 가,전주",96
도로 가 옆,11
도로 가 가,287
도로 가 전주,81
"가 전주,도로",19
"가 전주,현수막",21
가 전주 도로,145
가 전주 전주,162
가게 앞 앞,672
"길 건물,도로",43
건물 도로 도로,37
"도로 가,건물",39
"도로 가,길",29
어린이 보호 보호,537
"길 건물,앞",106
길 건물 앞,113
"건물 앞,길",664
"건물 앞,아양",23
"건물 앞,전주",106
"건물 앞,도로",79
건물 앞 길,171
건물 앞 앞,1649
건물 앞 전주,92
"앞 전주,건물",81
"앞 전주,길",19
앞 전주 건물,103
